	Unnamed: 0	Datetime	Tweet ID	Text	Username	Location
58	58	2022-11-27 07:04:26+00:00	1596761850959761408	@txtdaribandung Bandung asa banyak bikin flyover deh, tapi  kekeuh we macet:(	olenmask	
59	59	2022-11-21 12:25:58+00:00	1594668439422935040	"demo soal kota bandung ini? liat macet dimana2, 20 taun saya hidup gak ada perubahan. coba liat sekarang macet, pemerintah apa gak ngitung kerugian bensin kebuang ini. harusnya coba pemerintah itu punya kuasa buat beli lahan, ""ganti untung"" terus perlebar jalan/buat flyover."""	salmadila_k	
60	60	2022-11-15 14:58:40+00:00	1592532540220665857	Bener. Gausa ke Bandung asli. Meh aku ga stress melampaui Flyover Mochtar Kusumaatmadja nu macet nepi ka Baltos. Meni hayang ceurik.	GiaGiaaGiaa	
61	61	2022-11-15 02:32:02+00:00	1592344646575083520	@PRFMnews Harusnya pemkot sama pemprov sadar sih solusi kemacetan di Bandung itu bukan tinggal bikin flyover di tiap perempatan yg sering macet 😅	eeldie	
62	62	2022-11-12 11:57:28+00:00	1591399779002912770	"@historyofpersib tos digital bandung nambih macet bah kunaon nya?
kedah ngadamel flyover digital kitu?"	PenontonUmum_	
63	63	2022-11-11 14:51:48+00:00	1591081261665484800	@kaeunified Yang gak enak dari bandung itu banyak one waynya. Dan macet di Bandung kek ga enak banget sih mnrt gue wkwk, macet Jakarta juga sama aja gak enak. Mana ada macet yang enak, cuman JKT masih manageable imo. Bandung kek flyover pasopati trus kopo dll haduh	ohayamaa	
64	64	2022-11-10 11:01:37+00:00	1590660948708438018	@txtdaribandung Bandung emang unik......nambah flyover nambah macet.....contohna FO a yani.....beeuhhhh..supratman nu tadina lancar macet.....apalagi belokan sukabumi....botol!!!....mantap planningnya....salut	WarungDj	
65	65	2022-11-06 05:26:56+00:00	1589127170626301954	"@gigarv Soal macet emang jadi PR pisan sih Bandung mah.

Solusina pasti selalu flyover 🙃"	pemancar_	
66	66	2022-11-04 14:02:27+00:00	1588532126265544705	"Bandung Jumat tepat jam sibuk sore ditambah hujan.
Kombinasi pas untuk macet gila-gilaan. Flyover cuma paracetamol. Sirup lagih... 
Tidak mengobati kankernya kekurangan praktek penyediaan angkutan umum layak. Kalau teori sejak 2013 sudah banyak. Pakai mock-up lagih..."	abihaha	
67	67	2022-10-30 04:21:32+00:00	1586573998321983490	@arievrahman Macet banget ini di depannya. Ada yg bilang krn pembangunan perumahannya, tp kayaknya bakalan ttp macet kedepannya krn ini salah satu jalan penghubung kota &amp; kab bandung. Jd, 2 KM dr pintu tol pun ga akan ngaruh banyak kecuali dibuat flyover seperti di Kota Baru Parahyangan	AcatnameCAT	
68	68	2022-10-27 03:05:10+00:00	1585467615124008965	@bdngfess bawah flyover Kopo malem-malem. Tanpa macet. Tanpa panas. Tanpa Banjir. Teu eleh estetik jeng Bandung Timur https://t.co/U7KEKyK7CQ	xadistyg	
69	69	2022-10-20 11:00:15+00:00	1583050457986977792	Ini Bandung ga mau bebenah apa? Tiap habis hujan pasti macet dan banjir. Jangan banyakin flyover lah plis. Buat LRT memungkinkan g sih? Biar ga makin byk kendaraan pribadi. warganya jg biar rajin jalan kaki. Saya pribadi mau naik moda transportasi itu kalau ada rutenya. Serius😟	dudepanai	
70	70	2022-10-16 06:18:26+00:00	1581529985625751556	"@ventableu @adriansyahyasin Bandung Kota Seribu flyover, setiap jalan macet solusinya ""FlyOver"", padahal mah dengan Transportasi Umumnya yang dibenahi itu menjaga keasrian Kotanya"	wibowobp	
71	71	2022-10-15 15:04:46+00:00	1581300052701503488	Kecelakaan jalur bandung menuju cimahi sebelum flyover cimindi,macet sudah sampe sudirman @PRFMnews https://t.co/DywnmSrUjb	Cc_Mm_A	
72	72	2022-10-13 14:13:42+00:00	1580562425019265024	@txtdaribandung Pindah we, timbang bandung macet solusina flyover goblog. Rudet 😂😂😂	gltxh77	
73	73	2022-10-10 02:51:58+00:00	1579303698001727489	"Masalah umum Kota Bandung:

- transportasi umum 
- penerangan jalan
- pedestrian walk
- macet
- banjir
- begal 

Solusi:
✨FLYOVER DAN TAMAN✨"	menyeduhkan	
74	74	2022-10-05 23:57:32+00:00	1577810250073542657	@mapaybandungcom Dibangun flyover hanya memindahkan titik macet ke tempat lain saja, seharusnya yg Di kedepan Kan yaitu transfortasi masal, dibangun LRT, MRT untuk Bandung Raya atau Moda lainnya	DediSur34022821	
75	75	2022-10-04 15:08:22+00:00	1577314690912653313	@pandaapotan Emang di bandung ayeuna solusi macet nyieun flyover wkwkwkw	irgilian17	
